date,home,away,home_pts,away_pts
2026-03-01,Knights,Cowboys,28,18
2026-03-01,Bulldogs,Dragons,15,14
2026-03-05,Storm,Eels,52,4
2026-03-06,Warriors,Roosters,42,18
2026-03-06,Broncos,Panthers,0,26
2026-03-07,Sharks,Titans,50,10
2026-03-07,Sea Eagles,Raiders,28,29
2026-03-08,Dolphins,Rabbitohs,30,40
2026-03-12,Broncos,Eels,32,40
2026-03-13,Roosters,Rabbitohs,26,18
2026-03-13,Warriors,Raiders,40,6
2026-03-14,Dragons,Storm,20,46
2026-03-14,Panthers,Sharks,26,6
2026-03-14,Wests Tigers,Cowboys,44,16
2026-03-15,Dolphins,Titans,18,14
2026-03-15,Sea Eagles,Knights,16,36
2026-03-19,Raiders,Bulldogs,10,14
2026-03-20,Roosters,Panthers,4,40
2026-03-20,Storm,Broncos,14,18
2026-03-21,Knights,Warriors,12,38
2026-03-21,Sharks,Dolphins,10,38
2026-03-21,Rabbitohs,Wests Tigers,20,16
2026-03-22,Eels,Dragons,30,20
2026-03-22,Cowboys,Titans,30,16
2026-03-26,Manly,Roosters,16,33
2026-03-27,Broncos,Dolphins,26,12
2026-03-27,Warriors,Wests Tigers,14,32
2026-03-28,Bulldogs,Knights,16,24
2026-03-28,Cowboys,Storm,28,24
2026-03-28,Panthers,Eels,48,20
2026-03-29,Raiders,Sharks,22,34
2026-03-29,Titans,Dragons,22,14
2026-04-02,Dolphins,Sea Eagles,18,52
2026-04-03,Rabbitohs,Bulldogs,32,24
2026-04-03,Panthers,Storm,50,10
2026-04-04,Dragons,Cowboys,0,32
2026-04-04,Titans,Broncos,12,26
2026-04-05,Sharks,Warriors,36,22
2026-04-05,Knights,Raiders,32,12
2026-04-06,Eels,Wests Tigers,20,22
2026-04-09,Bulldogs,Panthers,32,16
2026-04-10,Dragons,Sea Eagles,18,28
2026-04-10,Broncos,Cowboys,31,35
2026-04-11,Rabbitohs,Raiders,34,36
2026-04-11,Sharks,Roosters,22,34
2026-04-11,Storm,Warriors,14,38
2026-04-12,Eels,Titans,10,52
2026-04-12,Wests Tigers,Knights,42,22
2026-04-16,Cowboys,Sea Eagles,6,38
2026-04-17,Raiders,Storm,26,22
2026-04-17,Dolphins,Panthers,22,23
2026-04-18,Warriors,Titans,28,20
2026-04-18,Rabbitohs,Dragons,30,12
2026-04-18,Wests Tigers,Broncos,20,21
2026-04-19,Roosters,Knights,38,24
2026-04-19,Eels,Bulldogs,38,20
